dataset,index,layer,learning_rate,optimizer,token_length,match,inversion_time,timesteps,times
token_length_filtered_dataset.csv,0,4,1.0,,20,True,7351.385432720184,50186_49690_50002_45509_50231_50255_49435_50252_50105_45064_46615_50255_44574_50106_49695_49585_50002_50255_48875_38797,462.85_464.30_462.34_327.61_365.61_364.28_359.81_367.18_364.51_328.80_340.53_368.05_322.89_362.01_358.69_359.54_365.51_367.64_357.16_282.08
token_length_filtered_dataset.csv,1,4,1.0,,20,True,7207.42521238327,49444_42919_49247_48716_50035_49748_49667_35794_46108_49936_49486_45415_50255_49301_42752_50221_44690_50208_41784_44669,346.65_310.42_353.58_351.17_360.46_357.48_358.84_282.55_438.99_475.37_401.91_347.01_382.10_372.32_323.58_380.36_336.25_378.74_314.04_335.61
token_length_filtered_dataset.csv,2,4,1.0,,20,True,7010.390018701553,49444_46110_49721_44105_50252_46154_50158_50252_50235_50028_41735_50053_43237_50204_50221_48968_49999_46635_41784_44669,346.88_341.27_370.00_327.72_375.28_325.92_358.23_357.42_358.22_371.13_310.70_374.23_319.57_367.63_364.26_357.93_381.72_351.32_314.11_336.84
token_length_filtered_dataset.csv,3,4,1.0,,20,True,6437.304602622986,43629_49316_43527_28567_35850_50252_38917_50224_41174_39877_44938_48049_50240_49312_48939_33193_42269_50213_44742_38797,307.57_361.12_321.58_212.35_267.12_366.40_284.66_365.94_309.41_295.00_336.09_357.96_372.15_362.96_363.77_244.09_315.43_371.85_331.32_290.51
token_length_filtered_dataset.csv,4,4,1.0,,20,True,6708.775810003281,43629_35900_44442_47687_46399_50246_49861_48454_50242_50212_48496_50248_49459_39472_43497_47601_48032_27512_49505_38797,308.26_268.29_332.94_355.57_340.97_374.30_365.66_355.76_368.93_367.16_351.66_365.49_370.97_293.98_319.54_354.98_357.21_204.55_366.04_286.52
token_length_filtered_dataset.csv,5,4,1.0,,20,True,6819.201782464981,47598_49511_49773_48677_50232_50255_45920_39768_47946_50235_49630_50206_50236_50256_46592_50060_39116_50138_50181_38797,334.55_361.37_357.48_348.43_358.06_359.37_325.64_283.16_342.15_357.18_353.17_357.82_357.71_361.65_335.23_358.98_282.57_355.41_354.66_274.60
token_length_filtered_dataset.csv,6,4,1.0,,20,True,6174.643785476685,49444_50171_49026_42801_50221_49480_50253_47350_49727_39932_50169_50220_49622_50187_49631_50068_48884_50242_49457_32991,320.41_343.42_337.86_295.29_348.38_341.89_346.78_318.26_329.97_271.48_340.00_335.20_331.72_332.30_320.33_268.93_267.40_274.62_270.17_180.23
token_length_filtered_dataset.csv,7,4,1.0,,20,True,4445.03445649147,38490_47784_48527_50205_45520_39822_50256_38776_7066_48677_45920_45701_42714_50254_43141_49977_45925_49304_2844_38797,197.80_254.12_258.96_267.79_243.29_212.87_268.97_207.21_37.83_260.86_245.57_244.67_228.68_268.87_231.04_267.67_250.85_270.03_15.58_212.36
token_length_filtered_dataset.csv,8,4,1.0,,20,True,4891.982788801193,43629_48272_50076_28567_43355_50231_36414_39768_45645_50196_46464_50219_50256_41870_50234_48878_50255_49770_49910_38797,224.01_256.64_267.20_152.25_231.52_268.05_194.78_212.36_244.27_268.79_248.70_268.62_269.01_224.13_269.08_261.49_274.28_272.18_272.76_211.86
token_length_filtered_dataset.csv,9,4,1.0,,20,True,4490.714034795761,43848_43946_49651_49583_1880_35631_50228_49792_50218_39932_43788_43479_25023_46238_50252_49503_43858_34164_50254_38797,225.31_233.53_266.21_266.52_10.00_189.52_267.28_265.01_267.76_213.00_233.49_231.77_133.58_246.49_268.03_263.92_238.70_186.05_273.50_211.04
